"","wordle_dict","V1","V2","V3","V4","V5","V7","V8","V9","V10","V11","unique","sumf","score","rank"
"1","cigar","c","i","g","a","r",7.10761640456368,10.6614246068455,2.80604378661733,8.27937095282146,5.18809744064138,5,34.0425531914894,170.212765957447,7509.5
"2","rebut","r","e","b","u","t",4.84119642306506,12.550107924761,2.58248535306815,3.09127351218008,5.60437866173296,5,28.6694418748073,143.347209374036,9801.5
"3","sissy","s","i","s","s","y",12.0644465001542,10.6614246068455,4.10884983040395,3.97779833487512,10.0292938637064,3,40.8418131359852,122.525439407956,11241
"4","humph","h","u","m","p","h",3.76965772432932,9.15047795251311,3.93925377736664,3.22232500770891,2.85229725562751,4,22.9340117175455,91.7360468701819,12511
"5","awake","a","w","a","k","e",5.68146777674992,1.25655257477644,9.52821461609621,3.87758248535307,11.7329633055813,4,32.0767807585569,128.307123034228,10886
"6","blush","b","l","u","s","h",7.00740055504163,5.38852913968548,5.14184397163121,3.97779833487512,2.85229725562751,5,24.3678692568609,121.839346284305,11279.5
"7","focal","f","o","c","a","l",4.60992907801418,16.1578785075547,3.02189330866482,8.27937095282146,3.66944187480728,5,35.7385137218625,178.692568609312,6869.5
"8","evade","e","v","a","d","e",2.33580018501388,0.40086339808819,9.52821461609621,3.6308973172988,11.7329633055813,4,27.6287388220783,110.514955288313,11855
"9","naval","n","a","v","a","l",2.50539623805119,17.445266728338,1.85013876040703,8.27937095282146,3.66944187480728,4,33.7496145544249,134.9984582177,10436
"10","serve","s","e","r","v","e",12.0644465001542,12.550107924761,9.23527597903176,1.20259019426457,11.7329633055813,4,46.7853839037928,187.141535615171,6276
"11","heath","h","e","a","t","h",3.76965772432932,12.550107924761,9.52821461609621,6.92260252852297,2.85229725562751,4,35.622880049337,142.491520197348,9865
"12","dwarf","d","w","a","r","f",5.28060437866173,1.25655257477644,9.52821461609621,5.5427073697194,0.632130743139069,5,22.2402096823928,111.201048411964,11826
"13","model","m","o","d","e","l",5.3422756706753,16.1578785075547,3.00647548566142,17.9386370644465,3.66944187480728,5,46.1147086031452,230.573543015726,3961
"14","karma","k","a","r","m","a",2.89855072463768,17.445266728338,9.23527597903176,3.09898242368178,5.24205982115325,4,37.9201356768424,151.68054270737,9156.5
"15","stink","s","t","i","n","k",12.0644465001542,1.84242984890533,8.10206598828245,6.07462226333642,1.99660807893925,5,30.0801726796176,150.400863398088,9246.5
"16","grade","g","r","a","d","e",4.91828553808202,7.2463768115942,9.52821461609621,3.6308973172988,11.7329633055813,5,37.0567375886525,185.283687943262,6393
"17","quiet","q","u","i","e","t",0.601295097132285,9.15047795251311,8.10206598828245,17.9386370644465,5.60437866173296,5,41.3968547641073,206.984273820537,5114
"18","bench","b","e","n","c","h",7.00740055504163,12.550107924761,7.43139068763491,3.16836262719704,2.85229725562751,5,33.0095590502621,165.047795251311,7956
"19","abate","a","b","a","t","e",5.68146777674992,0.624421831637373,9.52821461609621,6.92260252852297,11.7329633055813,4,34.4896700585877,137.958680234351,10203.5
"20","feign","f","e","i","g","n",4.60992907801418,12.550107924761,8.10206598828245,3.26086956521739,4.08572309589886,5,32.6086956521739,163.04347826087,8137.5
"21","major","m","a","j","o","r",5.3422756706753,17.445266728338,0.354609929078014,5.38082022818378,5.18809744064138,5,33.7110699969164,168.555349984582,7649.5
"22","death","d","e","a","t","h",5.28060437866173,12.550107924761,9.52821461609621,6.92260252852297,2.85229725562751,5,37.1338267036694,185.669133518347,6371.5
"23","fresh","f","r","e","s","h",4.60992907801418,7.2463768115942,6.79925994449584,3.97779833487512,2.85229725562751,5,25.4856614246068,127.428307123034,10938
"24","crust","c","r","u","s","t",7.10761640456368,7.2463768115942,5.14184397163121,3.97779833487512,5.60437866173296,5,29.0780141843972,145.390070921986,9650.5
"25","stool","s","t","o","o","l",12.0644465001542,1.84242984890533,7.65494912118409,5.38082022818378,3.66944187480728,4,30.6120875732347,122.448350292939,11247
"26","colon","c","o","l","o","n",7.10761640456368,16.1578785075547,6.53715695343818,5.38082022818378,4.08572309589886,4,39.2691951896392,157.076780758557,8675.5
"27","abase","a","b","a","s","e",5.68146777674992,0.624421831637373,9.52821461609621,3.97779833487512,11.7329633055813,4,31.5448658649399,126.179463459759,11023.5
"28","marry","m","a","r","r","y",5.3422756706753,17.445266728338,9.23527597903176,5.5427073697194,10.0292938637064,4,47.5948196114709,190.379278445883,6078.5
"29","react","r","e","a","c","t",4.84119642306506,12.550107924761,9.52821461609621,3.16836262719704,5.60437866173296,5,35.6922602528523,178.461301264261,6885
"30","batty","b","a","t","t","y",7.00740055504163,17.445266728338,4.74868948504471,6.92260252852297,10.0292938637064,4,46.1532531606537,184.613012642615,6440
"31","pride","p","r","i","d","e",6.62195497995683,7.2463768115942,8.10206598828245,3.6308973172988,11.7329633055813,5,37.3342584027135,186.671292013568,6303.5
"32","floss","f","l","o","s","s",4.60992907801418,5.38852913968548,7.65494912118409,3.97779833487512,30.5118717237126,4,52.1430773974715,208.572309589886,5043.5
"33","helix","h","e","l","i","x",3.76965772432932,12.550107924761,6.53715695343818,6.78384212149244,0.539623805118717,5,30.1803885291397,150.901942645698,9208
"34","croak","c","r","o","a","k",7.10761640456368,7.2463768115942,7.65494912118409,8.27937095282146,1.99660807893925,5,32.2849213691027,161.424606845513,8276.5
